PCA_1,PCA_2,PCA_3,SubjectID,Rank,UpdateDT,RankChange
-206.278010088618,2.049315948685546,-5.659268680560203,1,189,2021-05-06 14:13:00,69.0
-196.50307637879968,71.01505173187907,-1.6473883638617473,1,170,2021-05-15 21:41:00,-19.0
-188.852741059513,51.937060645209456,-6.633015496450415,1,203,2021-05-24 10:53:00,33.0
-179.24012390020746,84.81916433588735,2.8892192061697024,1,176,2021-06-02 13:51:00,-27.0
-167.51593570476305,57.73526105724646,-0.6665225141751137,1,184,2021-06-13 22:57:00,8.0
-159.71852794754892,65.6583536248395,-7.8175013950725525,1,168,2021-06-22 11:35:00,-16.0
-149.51614343372412,49.708593508608814,2.041731723409331,1,175,2021-07-01 16:34:00,7.0
-138.6016358429464,56.27531303485942,-2.327798753090196,1,128,2021-07-13 10:53:00,-47.0
-131.26773402657275,9.450692298161556,-8.829439054594115,1,118,2021-07-20 21:38:00,-10.0
-113.72333634537706,-0.7696588349994897,4.236920575110386,1,120,2021-08-06 16:31:00,2.0
-104.14461991030099,1.2232191696038228,-6.136537561677098,1,104,2021-08-17 11:33:00,-16.0
-79.57820835835665,-14.99919079889041,7.364509018025036,1,91,2021-09-09 21:22:00,-13.0
-52.515962720703726,-28.13393683093321,10.17900427414197,1,105,2021-10-06 21:07:00,14.0
-38.1993384667355,-14.268874603050293,-7.586764551881107,1,83,2021-10-21 14:41:00,-22.0
-16.799004722715807,-36.13318693322687,2.634078888637667,1,167,2021-11-11 20:22:00,84.0
7.994621898989976,47.485750424051346,5.8035427111471805,1,117,2021-12-06 10:47:00,-50.0
29.07414370974024,-2.5759278825868677,-6.736866413356472,1,155,2021-12-28 09:44:00,38.0
67.4097818373777,35.10715465700126,16.088423693687137,1,154,2022-02-02 17:20:00,-1.0
94.94753293725097,33.9758149848855,7.658618243163872,1,141,2022-03-03 08:29:00,-13.0
127.98576457598978,20.61623001031576,8.466976242846101,1,175,2022-04-05 07:57:00,34.0
158.03075472094002,54.38523689392069,4.830647189601692,1,141,2022-05-04 22:07:00,-34.0
186.72430322329456,20.242227673949643,3.5555633259761557,1,147,2022-06-03 07:46:00,6.0
219.92705341396254,25.978606193297807,4.369468096076265,1,134,2022-07-06 09:11:00,-13.0
246.6296081284463,12.963162487914232,-0.014807329916067147,1,162,2022-08-02 11:02:00,28.0
285.0432372033997,40.34100118368413,3.3256699708072333,1,142,2022-09-08 15:13:00,-20.0
313.520028918893,20.14620990706088,-4.815754767785153,1,142,2022-10-07 18:20:00,0.0
317.4383237534993,20.19868716072277,-28.998085866232316,1,149,2022-10-13 08:42:00,7.0
65.50834539536498,-0.3002510450188538,-16.119174017925094,2,85,2022-02-02 17:20:00,-35.0
94.46702633887207,-35.40888516245555,7.5519775157554605,2,79,2022-03-03 08:29:00,-6.0
127.53624502151712,-41.57255712345125,8.508751562014265,2,63,2022-04-05 07:57:00,-16.0
157.26317990749493,-57.78396404297009,5.075274917949141,2,64,2022-05-04 22:07:00,1.0
186.26503137416074,-56.997487206698096,3.9511980486487097,2,64,2022-06-03 07:46:00,0.0
219.3409678236082,-57.21584353472606,4.7895927704457755,2,94,2022-07-06 09:11:00,30.0
246.31020182611195,-27.44643540870746,-0.30836417938306937,2,76,2022-08-02 11:02:00,-18.0
284.4242382312363,-45.61597414218096,4.237135946224132,2,66,2022-09-08 15:13:00,-10.0
312.9736900314357,-55.82260833755272,-3.9253570381610405,2,66,2022-10-07 18:20:00,0.0
316.8668708376448,-55.98011288642086,-28.918133207253543,2,35,2022-10-13 08:42:00,-31.0
-206.22290557483205,1.6477306440902595,-5.108402592283175,3,32,2021-05-06 14:13:00,-88.0
-197.61765179037948,-86.2513235084173,-1.1391216777843898,3,41,2021-05-15 21:41:00,9.0
-189.77034134360008,-77.32446356365114,-6.037145398335737,3,34,2021-05-24 10:53:00,-7.0
-180.45148400673682,-84.13261062315091,3.4045738479716263,3,34,2021-06-02 13:51:00,0.0
-168.5667782359527,-84.19429305837136,0.11504002262228852,3,12,2021-06-13 22:57:00,-22.0
-161.02236272624847,-106.21401006228508,-6.9708261655890595,3,18,2021-06-22 11:35:00,6.0
-150.60378262040024,-100.23847234161687,2.5119751558243344,3,21,2021-07-01 16:34:00,3.0
-139.6794761352149,-97.41943514752816,-1.6050002823628322,3,16,2021-07-13 10:53:00,-5.0
-132.0118170888678,-102.45430781495934,-8.39483038638755,3,9,2021-07-20 21:38:00,-7.0
-114.43441855883921,-109.51911787271392,5.355718429370512,3,45,2021-08-06 16:31:00,36.0
-104.62380759635789,-73.63850690628001,-5.225553297716772,3,13,2021-08-17 11:33:00,-32.0
-80.19156379006435,-105.84613401078651,7.953113147551033,3,11,2021-09-09 21:22:00,-2.0
-53.08614060831616,-107.96486580851094,10.99989689843093,3,43,2021-10-06 21:07:00,32.0
-38.63513037785293,-76.10275767520287,-6.835877070077734,3,68,2021-10-21 14:41:00,25.0
-16.926890152668562,-51.37991146719038,2.711444112960759,3,48,2021-11-11 20:22:00,-20.0
7.168754026380526,-71.66805888026776,6.599705858835424,3,95,2021-12-06 10:47:00,47.0
29.08873683153908,-24.90739577260483,-6.640957002407214,3,148,2021-12-28 09:44:00,53.0
67.41509366495137,28.136169122303656,16.469411797484216,3,165,2022-02-02 17:20:00,17.0
95.21945036440303,44.797446097801995,7.592833578586003,3,158,2022-03-03 08:29:00,-7.0
128.21238752354975,37.52301882276514,8.624629373086258,3,125,2022-04-05 07:57:00,-33.0
157.74120069000975,4.347332931980475,4.51743563373482,3,109,2022-05-04 22:07:00,-16.0
186.57586345161099,-11.93209341145618,3.675272865489891,3,118,2022-06-03 07:46:00,9.0
219.73010234735705,-3.1847667088554203,3.9497232090301644,3,115,2022-07-06 09:11:00,-3.0
246.48441078601803,-6.475470922096676,-0.6676311817721867,3,134,2022-08-02 11:02:00,19.0
284.90444819365376,12.364554434065823,3.63347318734937,3,145,2022-09-08 15:13:00,11.0
313.60648617173524,23.13305010932207,-4.573263113200667,3,145,2022-10-07 18:20:00,0.0
317.45174852267166,23.004762869357577,-29.338348439832426,3,143,2022-10-13 08:42:00,-2.0
-206.2971055496126,1.7170448739886552,-5.815991068358198,4,111,2021-05-06 14:13:00,-9.0
-197.10957925784572,-7.216008573197115,-1.5209183008102762,4,77,2021-05-15 21:41:00,-34.0
-189.5674615886211,-41.19314309494224,-6.553480637861835,4,78,2021-05-24 10:53:00,1.0
-180.17847550768784,-40.450340374577564,3.14340490471492,4,79,2021-06-02 13:51:00,1.0
-168.26919547672546,-39.38070676348592,-0.3200592800631412,4,115,2021-06-13 22:57:00,36.0
-160.28744825594876,-3.525532487248782,-7.269972399851776,4,97,2021-06-22 11:35:00,-18.0
