model_name,filename,mae,rmse,r2,spearman,kendall,accuracy_5,accuracy_10,accuracy_20,is_best_model
Random Forest (Enhanced),random_forest_enhanced.pkl,17.87549291569006,25.033892876625362,0.8058657335622552,0.8962401801890364,0.7373816068352057,0.21432312123592565,0.401413982717989,0.6763550667714061,True
Gradient Boosting (Enhanced),gradient_boosting_enhanced.pkl,17.95945818794824,25.063494246407977,0.8054063533293088,0.8966837026434005,0.7366435076128106,0.2135375752814873,0.40272322597538623,0.6716417910447762,False
LightGBM (Enhanced),lightgbm_enhanced.pkl,18.45447686089394,25.411860086610123,0.7999593159058624,0.8952211975957283,0.7325889922586706,0.1966483372610631,0.38112071222833205,0.6607750720083791,False
XGBoost (Enhanced),xgboost_enhanced.pkl,18.882198688839704,25.807565023455723,0.7936809062957764,0.8928038200473419,0.7279127744281867,0.19586279130662476,0.3681592039800995,0.6449332285938727,False
